# Warnings for TEMP
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
TEMP,6903096,FRA,,,X,
TEMP,6903124,EUR,,,X,
TEMP,6903125,FRA,,X,X,
TEMP,6903126,FRA,,X,X,
TEMP,6903127,FRA,,X,X,
TEMP,6903128,FRA,,,X,
TEMP,6903129,FRA,,,X,
TEMP,6903130,FRA,,,X,
TEMP,6903152,GRC,X,,X,
TEMP,6903153,GRC,,,X,
TEMP,6903178,ITA,X,,,
TEMP,6903183,ITA,X,,,
TEMP,6903200,ITA,,,X,
TEMP,6903235,ITA,,X,,
TEMP,6903237,ITA,,,X,
TEMP,6903238,ITA,,,X,
TEMP,6903240,ITA,,,X,
TEMP,6903247,ITA,,X,X,
TEMP,6903263,ITA,,,X,
TEMP,6903265,ITA,,X,X,
TEMP,6903266,ITA,,X,,
TEMP,6903268,ITA,,,X,
TEMP,6903275,GRC,,,X,
TEMP,6903283,GRC,,,X,
TEMP,6903286,GRC,,,X,
TEMP,6903552,NOR,,X,,
TEMP,6903557,NOR,,X,,
TEMP,6903567,NOR,,X,,
TEMP,6903568,NOR,,X,,
TEMP,6903569,NOR,X,X,,
TEMP,6903570,NOR,,X,,
TEMP,6903572,NOR,,X,,
TEMP,6903574,NOR,,X,,
TEMP,6903575,NOR,,X,,
TEMP,6903580,NOR,,X,,
TEMP,6903589,NOR,,,X,
TEMP,6903697,FIN,,,X,
TEMP,6903699,FIN,X,,X,
TEMP,6903700,FIN,,,X,
TEMP,6903701,FIN,,,X,
TEMP,6903704,FIN,,,X,
TEMP,6903706,EUR,,,X,
TEMP,6903707,FIN,,,X,
TEMP,6903708,FIN,,,X,
TEMP,6903711,FIN,X,,X,
TEMP,6903765,ITA,,,X,
TEMP,6903767,ITA,,X,,
TEMP,6903768,ITA,,X,,
TEMP,6903777,ITA,,X,X,
TEMP,6903781,ITA,,,X,
TEMP,6903786,ITA,,,X,
TEMP,6903799,ITA,,X,X,
TEMP,6903802,ITA,,,X,
TEMP,6903804,ITA,,,X,
TEMP,6903805,ITA,,,X,
TEMP,6903818,ITA,,,X,
TEMP,6903822,ITA,,,X,
TEMP,6903867,BGR,,,X,
