# Warnings for PSAL
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
PSAL,6903570,NOR,,X,,
PSAL,6903572,NOR,,X,,
PSAL,6903574,NOR,,X,,
PSAL,6903575,NOR,,X,,
PSAL,6903579,NOR,X,,,
PSAL,6903580,NOR,,X,,
PSAL,6903588,NOR,X,,,
PSAL,6903589,NOR,,,X,
PSAL,6903697,FIN,,,X,
PSAL,6903699,FIN,X,,X,
PSAL,6903700,FIN,,,X,
PSAL,6903701,FIN,,,X,
PSAL,6903704,FIN,,,X,
PSAL,6903706,EUR,,,X,
PSAL,6903707,FIN,,,X,
PSAL,6903708,FIN,,,X,
PSAL,6903711,FIN,,,X,
PSAL,6903765,ITA,X,,X,
PSAL,6903767,ITA,,X,,
PSAL,6903768,ITA,,X,,
PSAL,6903777,ITA,,X,X,
PSAL,6903781,ITA,,,X,
PSAL,6903786,ITA,,,X,
PSAL,6903799,ITA,X,X,X,
PSAL,6903802,ITA,,,X,
PSAL,6903804,ITA,,,X,
PSAL,6903805,ITA,,,X,
PSAL,6903818,ITA,,,X,
PSAL,6903822,ITA,,,X,
PSAL,6903867,BGR,,,X,
PSAL,6903869,EUR,,,X,
PSAL,6903870,EUR,,,X,
PSAL,6903871,EUR,,,X,
PSAL,6903872,EUR,,,X,
PSAL,6903873,EUR,,,X,
PSAL,6903874,EUR,,,X,
PSAL,6903875,EUR,,,X,
PSAL,6903876,EUR,,,X,
PSAL,6903877,EUR,,,X,
PSAL,6903878,EUR,,,X,
PSAL,6904113,DEU,X,,,
PSAL,6904116,DEU,,,X,
PSAL,6904117,DEU,,,X,
PSAL,6904139,DEU,X,,,
PSAL,6904182,GBR,,,X,
PSAL,6904183,GBR,,,X,
PSAL,6904184,GBR,,,X,
PSAL,6904226,DEU,X,,X,
PSAL,6904235,FRA,,,X,
PSAL,6904240,FRA,,,X,
PSAL,6904241,FRA,,,X,
PSAL,7900095,DEU,X,,,
PSAL,7900559,DEU,X,,,
PSAL,7900560,DEU,X,,,
PSAL,7900562,DEU,,,X,
PSAL,7900563,DEU,,X,X,
PSAL,7900579,DEU,X,,X,
PSAL,7900580,DEU,X,,X,
PSAL,7900583,DEU,,,X,
PSAL,7900586,DEU,X,,X,
PSAL,7900587,DEU,,,X,
PSAL,7900589,DEU,X,,,
PSAL,7900591,EUR,X,,,
PSAL,7900592,EUR,X,,,
PSAL,7900594,EUR,X,,,
PSAL,7900596,BGR,,,X,
PSAL,7901001,DEU,,,X,
PSAL,7901007,NOR,,,X,
PSAL,7901028,NOR,,X,,
