# Warnings for CDOM
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
CDOM,6901649,FRA,,X,X,
CDOM,6901650,FRA,X,X,X,
CDOM,6901651,FRA,,X,X,
CDOM,6901652,FRA,,X,,
CDOM,6901653,FRA,X,X,X,X
CDOM,6901654,FRA,,X,X,
CDOM,6901655,FRA,,X,X,
CDOM,6901656,FRA,,X,X,
CDOM,6901657,FRA,,X,X,
CDOM,6901658,FRA,,X,X,
CDOM,6901659,FRA,,X,X,
CDOM,6901660,FRA,,X,X,
CDOM,6901687,FRA,,X,X,
CDOM,6901688,FRA,X,X,X,X
CDOM,6901689,FRA,,X,X,
CDOM,6901764,FRA,X,X,X,
CDOM,6901765,FRA,,X,X,
CDOM,6901766,FRA,,X,X,
CDOM,6901767,FRA,X,X,X,
CDOM,6901768,FRA,X,X,X,
CDOM,6901769,FRA,,X,X,
CDOM,6901770,FRA,,X,X,
CDOM,6901771,FRA,,X,X,
CDOM,6901772,FRA,X,X,X,X
CDOM,6901773,FRA,,X,X,
CDOM,6901774,FRA,,X,X,
CDOM,6901775,FRA,X,X,X,
CDOM,6901776,FRA,X,X,X,
CDOM,6901860,ITA,X,X,X,
CDOM,6901861,ITA,,X,X,
CDOM,6901862,ITA,,X,X,
CDOM,6901863,ITA,,X,X,
CDOM,6901864,ITA,X,X,X,X
CDOM,6901865,ITA,X,X,X,X
CDOM,6901866,ITA,,X,X,
CDOM,6902666,FRA,,X,X,
CDOM,6902667,FRA,X,X,X,
CDOM,6902668,FRA,X,X,X,
CDOM,6902669,FRA,,X,X,
CDOM,6902670,FRA,,X,X,
CDOM,6902671,FRA,,X,X,
CDOM,6902700,FRA,,X,X,
CDOM,6902701,FRA,X,X,X,
CDOM,6902732,FRA,X,X,X,
CDOM,6902733,FRA,,X,X,
CDOM,6902734,FRA,X,X,X,
CDOM,6902735,FRA,,X,X,
CDOM,6902736,FRA,,X,X,
CDOM,6902737,FRA,,X,X,
CDOM,6902738,FRA,,X,X,
CDOM,6902739,FRA,,X,X,
CDOM,6902740,FRA,,X,X,
CDOM,6902742,FRA,X,X,X,X
CDOM,6902743,FRA,X,X,X,X
CDOM,6902826,FRA,,X,X,
CDOM,6902827,FRA,X,,X,X
CDOM,6902828,FRA,,X,X,
CDOM,6902829,FRA,,X,X,
CDOM,6902879,EUR,,X,X,
CDOM,6902880,FRA,,X,X,
CDOM,6902896,FRA,,X,X,
CDOM,6902897,FRA,,X,X,
CDOM,6902898,FRA,X,X,X,X
CDOM,6902899,EUR,,X,X,
CDOM,6902900,FRA,,X,X,
CDOM,6902901,FRA,X,X,X,
CDOM,6902902,FRA,X,X,X,X
CDOM,6902903,FRA,X,X,X,
CDOM,6902904,FRA,X,X,X,
CDOM,6902905,FRA,,X,X,
CDOM,6902906,FRA,,X,X,
CDOM,6902907,FRA,X,,X,X
CDOM,6902908,FRA,,X,X,
CDOM,6902909,FRA,,X,X,
CDOM,6902953,FRA,,X,X,
CDOM,6902954,FRA,,X,X,
CDOM,6902967,FRA,,X,X,
CDOM,6902968,FRA,,X,X,
CDOM,6902969,EUR,,X,X,
CDOM,6903024,FRA,,X,X,
CDOM,6903025,FRA,,X,X,
CDOM,6903026,FRA,,X,X,
CDOM,6903069,FRA,,X,X,
CDOM,6903070,FRA,,X,X,
CDOM,6903091,FRA,,X,X,
CDOM,6903093,FRA,,X,X,
CDOM,6903094,FRA,,X,X,
CDOM,6903124,EUR,,X,X,
CDOM,6903125,FRA,,X,X,
CDOM,6903126,FRA,X,X,X,X
CDOM,6903127,FRA,,X,X,
CDOM,6903128,FRA,,X,X,
CDOM,6903129,FRA,,X,X,
CDOM,6903130,FRA,,X,X,
CDOM,6903197,ITA,,X,X,
CDOM,6903235,ITA,,X,X,
CDOM,6903240,ITA,,X,X,
CDOM,6903247,ITA,,X,X,
CDOM,6903249,ITA,,X,X,
CDOM,6903250,ITA,,X,X,
CDOM,6903549,NOR,,X,X,
CDOM,6903550,NOR,,X,X,
CDOM,6903551,NOR,X,X,X,
CDOM,6903552,NOR,,X,X,
CDOM,6903553,NOR,,X,X,
CDOM,6903554,NOR,,X,X,
CDOM,6903555,NOR,,X,X,
