# Warnings for CHLA
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
CHLA,6901575,FRA,X,X,X,X
CHLA,6901576,FRA,,,X,
CHLA,6901577,FRA,,,X,
CHLA,6901578,FRA,X,X,X,
CHLA,6901579,FRA,,X,X,
CHLA,6901580,FRA,X,,X,X
CHLA,6901581,FRA,X,X,X,X
CHLA,6901582,FRA,X,X,X,
CHLA,6901583,FRA,X,X,X,
CHLA,6901584,FRA,X,X,X,
CHLA,6901585,FRA,X,X,X,
CHLA,6901600,FRA,X,,,
CHLA,6901646,FRA,X,X,X,
CHLA,6901647,FRA,,X,X,
CHLA,6901648,FRA,,X,,
CHLA,6901649,FRA,X,X,,
CHLA,6901650,FRA,X,,X,
CHLA,6901651,FRA,,,X,
CHLA,6901653,FRA,X,X,,
CHLA,6901654,FRA,X,X,X,
CHLA,6901656,FRA,,,X,
CHLA,6901657,FRA,,X,,
CHLA,6901658,FRA,,X,X,
CHLA,6901659,FRA,,,X,
CHLA,6901660,FRA,,,X,
CHLA,6901687,FRA,X,X,X,X
CHLA,6901688,FRA,X,X,X,X
CHLA,6901689,FRA,,,X,
CHLA,6901748,FRA,,,X,X
CHLA,6901749,FRA,,,X,
CHLA,6901764,FRA,X,X,,
CHLA,6901765,FRA,,X,,
CHLA,6901767,FRA,X,,,
CHLA,6901768,FRA,X,X,,
CHLA,6901769,FRA,,X,,
CHLA,6901770,FRA,,X,,
CHLA,6901771,FRA,,X,,
CHLA,6901772,FRA,X,X,X,
CHLA,6901773,FRA,X,X,,
CHLA,6901774,FRA,,X,X,
CHLA,6901775,FRA,X,X,X,
CHLA,6901776,FRA,X,X,,
CHLA,6901860,ITA,X,X,,
CHLA,6901861,ITA,,X,X,
CHLA,6901862,ITA,,X,,
CHLA,6901863,ITA,,X,,
CHLA,6901864,ITA,X,X,,
CHLA,6901865,ITA,X,,,
CHLA,6901866,ITA,X,,X,
CHLA,6902014,FIN,,,X,
CHLA,6902018,FIN,,,X,
CHLA,6902019,FIN,,,X,
CHLA,6902020,FIN,,,X,
CHLA,6902021,FIN,,,X,
CHLA,6902024,FIN,,,X,
CHLA,6902027,FIN,,,X,
CHLA,6902028,FIN,,,X,
CHLA,6902544,NOR,X,,X,
CHLA,6902545,NOR,X,,X,
CHLA,6902546,EUR,,,X,
CHLA,6902547,EUR,,,X,
CHLA,6902548,NOR,X,,X,
CHLA,6902549,NOR,X,,X,
CHLA,6902550,NOR,X,,X,
CHLA,6902667,FRA,X,,,
CHLA,6902668,FRA,X,,,
CHLA,6902671,FRA,X,,X,
CHLA,6902680,FRA,,,X,
CHLA,6902700,FRA,,X,,
CHLA,6902701,FRA,X,X,X,
CHLA,6902732,FRA,X,X,,
CHLA,6902733,FRA,,X,,
CHLA,6902734,FRA,X,,X,
CHLA,6902735,FRA,,,X,
CHLA,6902736,FRA,,,X,
CHLA,6902737,FRA,,,X,
CHLA,6902738,FRA,,,X,
CHLA,6902739,FRA,X,X,X,
CHLA,6902740,FRA,,,X,
CHLA,6902742,FRA,X,X,X,X
