# Warnings for BBP700
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
BBP700,6901688,FRA,X,X,X,X
BBP700,6901764,FRA,X,X,X,
BBP700,6901765,FRA,X,X,,
BBP700,6901766,FRA,,,X,
BBP700,6901768,FRA,,X,,
BBP700,6901769,FRA,,X,,
BBP700,6901770,FRA,,X,,
BBP700,6901771,FRA,,X,,
BBP700,6901772,FRA,X,X,X,
BBP700,6901773,FRA,X,X,X,
BBP700,6901774,FRA,,X,X,
BBP700,6901775,FRA,X,X,X,
BBP700,6901776,FRA,X,X,,
BBP700,6901860,ITA,X,X,,
BBP700,6901861,ITA,X,X,,
BBP700,6901862,ITA,,X,X,
BBP700,6901863,ITA,,X,,
BBP700,6901864,ITA,X,X,X,X
BBP700,6901865,ITA,X,,,
BBP700,6901866,ITA,,,X,
BBP700,6902014,FIN,,,X,
BBP700,6902018,FIN,,,X,
BBP700,6902019,FIN,,,X,
BBP700,6902020,FIN,,,X,
BBP700,6902021,FIN,,,X,
BBP700,6902024,FIN,,,X,
BBP700,6902027,FIN,,,X,
BBP700,6902028,FIN,,,X,
BBP700,6902544,NOR,,,X,
BBP700,6902545,NOR,,,X,
BBP700,6902546,EUR,,,X,
BBP700,6902547,EUR,,,X,
BBP700,6902548,NOR,,,X,
BBP700,6902549,NOR,,,X,
BBP700,6902550,NOR,,,X,
BBP700,6902667,FRA,X,,,
BBP700,6902668,FRA,X,,,
BBP700,6902670,FRA,X,X,X,
BBP700,6902671,FRA,,,X,
BBP700,6902700,FRA,,X,X,
BBP700,6902701,FRA,X,X,X,
BBP700,6902732,FRA,X,X,X,
BBP700,6902733,FRA,,X,,
BBP700,6902734,FRA,X,,X,
BBP700,6902735,FRA,X,,X,
BBP700,6902736,FRA,X,,X,
BBP700,6902737,FRA,X,,X,
BBP700,6902739,FRA,X,X,X,
BBP700,6902740,FRA,,,X,
BBP700,6902742,FRA,X,X,,
BBP700,6902743,FRA,X,X,,
BBP700,6902826,FRA,,,X,
BBP700,6902827,FRA,X,,X,X
BBP700,6902829,FRA,X,,,
BBP700,6902880,FRA,,,X,
BBP700,6902896,FRA,,X,X,
BBP700,6902897,FRA,,X,X,
BBP700,6902898,FRA,X,X,X,X
BBP700,6902899,EUR,,X,X,
BBP700,6902900,FRA,,,X,
BBP700,6902901,FRA,X,,X,
BBP700,6902902,FRA,X,X,X,X
BBP700,6902903,FRA,X,X,X,
BBP700,6902904,FRA,X,X,X,X
BBP700,6902905,FRA,X,,X,X
BBP700,6902906,FRA,,,X,
BBP700,6902907,FRA,X,,X,X
BBP700,6902908,FRA,X,,X,X
BBP700,6902909,FRA,,,X,
BBP700,6902953,FRA,,,X,
BBP700,6902954,FRA,,X,X,
BBP700,6902967,FRA,,,X,
BBP700,6902968,FRA,,,X,
BBP700,6902969,EUR,,,X,
BBP700,6903024,FRA,,,X,
BBP700,6903025,FRA,,,X,
BBP700,6903026,FRA,,,X,
BBP700,6903069,FRA,,,X,
BBP700,6903070,FRA,,,X,
BBP700,6903091,FRA,X,,X,X
BBP700,6903093,FRA,X,,X,X
BBP700,6903094,FRA,,,X,
BBP700,6903095,FRA,,,X,
BBP700,6903096,FRA,,,X,
BBP700,6903124,EUR,,,X,
BBP700,6903125,FRA,,X,X,
BBP700,6903126,FRA,X,,X,X
BBP700,6903127,FRA,,,X,
BBP700,6903128,FRA,,,X,
BBP700,6903129,FRA,,,X,
BBP700,6903130,FRA,,,X,
BBP700,6903235,ITA,X,,,
BBP700,6903240,ITA,,,X,
BBP700,6903247,ITA,,,X,
BBP700,6903249,ITA,,,X,
BBP700,6903250,ITA,,,X,
BBP700,6903273,NOR,,,X,
BBP700,6903549,NOR,,,X,
BBP700,6903550,NOR,,,X,
BBP700,6903551,NOR,X,,X,
BBP700,6903552,NOR,,X,X,
BBP700,6903553,NOR,,,X,
BBP700,6903554,NOR,,,X,
BBP700,6903555,NOR,,,X,
BBP700,6903567,NOR,,X,X,
BBP700,6903568,NOR,,X,X,
BBP700,6903569,NOR,,X,X,
BBP700,6903570,NOR,,X,X,
BBP700,6903574,NOR,,,X,
BBP700,6903575,NOR,,,X,
BBP700,6903576,NOR,X,,X,
BBP700,6903577,NOR,,,X,
BBP700,6903578,NOR,,,X,
BBP700,6903579,NOR,,,X,
BBP700,6903590,NOR,,,X,
BBP700,6903591,NOR,,,X,
BBP700,6903592,NOR,,,X,
BBP700,6903697,FIN,,,X,
BBP700,6903706,EUR,,,X,
BBP700,6903708,FIN,,,X,
BBP700,6903711,FIN,,,X,
BBP700,6903805,ITA,,,X,
BBP700,6903874,EUR,,,X,
BBP700,6903875,EUR,,,X,
BBP700,6903876,EUR,,,X,
BBP700,6903877,EUR,,,X,
BBP700,6903878,EUR,X,,X,X
BBP700,6904113,DEU,,,X,
BBP700,6904116,DEU,,,X,
BBP700,6904117,DEU,,,X,
BBP700,6904118,DEU,,,X,
BBP700,6904134,DEU,,,X,
BBP700,6904139,DEU,,,X,
BBP700,6904182,GBR,,,X,
BBP700,6904183,GBR,,,X,
BBP700,6904184,GBR,,,X,
BBP700,6904187,GBR,X,,,
BBP700,6904226,DEU,,,X,
BBP700,6904235,FRA,,,X,
BBP700,6904240,FRA,,,X,
BBP700,6904241,FRA,,,X,
