# Warnings for DOXY
# Project : European_BGC_Fleet
# Update date : 20230713022802

PARAM,WMO,Country,prof_QC=F_once,prof_QC_not_filled_once,No_DMQC_older_1yr,grey_listed 
DOXY,6901581,FRA,X,X,,
DOXY,6901582,FRA,X,X,,
DOXY,6901583,FRA,,X,,
DOXY,6901584,FRA,X,X,,
DOXY,6901585,FRA,,X,,
DOXY,6901592,FRA,,,X,
DOXY,6901596,FRA,X,,,
DOXY,6901597,FRA,,,X,
DOXY,6901601,FRA,X,,,
DOXY,6901604,FRA,,,X,
DOXY,6901627,EUR,X,X,,
DOXY,6901646,FRA,X,X,,
DOXY,6901648,FRA,,X,,
DOXY,6901649,FRA,X,X,,
DOXY,6901652,FRA,X,,,
DOXY,6901656,FRA,,X,,
DOXY,6901657,FRA,X,X,,
DOXY,6901658,FRA,,X,,
DOXY,6901688,FRA,X,X,,
DOXY,6901748,FRA,X,,X,
DOXY,6901749,FRA,X,,X,
DOXY,6901755,FRA,,X,,
DOXY,6901756,FRA,,,X,
DOXY,6901764,FRA,X,X,,
DOXY,6901765,FRA,,X,,
DOXY,6901766,FRA,X,,,
DOXY,6901768,FRA,,X,,
DOXY,6901769,FRA,,X,,
DOXY,6901770,FRA,X,X,,
DOXY,6901771,FRA,,X,,
DOXY,6901772,FRA,X,X,,X
DOXY,6901773,FRA,X,X,,
DOXY,6901774,FRA,,X,,
DOXY,6901775,FRA,X,X,,X
DOXY,6901776,FRA,X,X,,
DOXY,6901881,EUR,,,X,
DOXY,6901886,GRC,,,X,
DOXY,6901888,GRC,X,X,X,
DOXY,6901895,EXT,,,X,
DOXY,6901896,EXT,,,X,
DOXY,6901897,EXT,X,,,
DOXY,6901899,EXT,X,,X,
DOXY,6901900,EXT,X,,X,
DOXY,6901933,IRL,X,,X,X
DOXY,6901939,IRL,X,,X,X
DOXY,6902014,FIN,,,X,
DOXY,6902018,FIN,X,,X,
DOXY,6902019,FIN,,,X,
DOXY,6902020,FIN,,,X,
DOXY,6902021,FIN,X,,X,X
DOXY,6902024,FIN,,,X,
DOXY,6902025,FIN,X,,X,
DOXY,6902027,FIN,X,,X,
DOXY,6902028,FIN,,,X,
DOXY,6902544,NOR,,,X,
DOXY,6902545,NOR,X,,X,
DOXY,6902546,EUR,X,,X,
DOXY,6902547,EUR,X,,,
DOXY,6902548,NOR,,,X,
DOXY,6902549,NOR,,,X,
