WMO;COUNTRY;PROGRAM;LAUNCH_DATE
3901534;United Kingdom;Argo UK;2017/04/08
3901548;United Kingdom;Argo UK;2018/10/14
3901590;Germany;Argo BSH;2016/08/22
3901601;Germany;Argo BSH;2016/09/22
3901602;Germany;Argo BSH;2016/09/18
3901605;Germany;Argo BSH;2016/09/22
3901606;Germany;Argo BSH;2017/05/02
3901608;Germany;Argo BSH;2016/12/31
3901609;Germany;Argo BSH;2017/05/03
3901610;Germany;Argo BSH;2017/05/06
3901611;Germany;Argo BSH;2016/12/29
3901625;Germany;Argo BSH;2017/06/11
3901628;Germany;Argo BSH;2017/06/14
3901631;Germany;Argo BSH;2017/10/15
3901633;Germany;Argo BSH;2017/10/06
3901634;Germany;Argo BSH;2017/08/24
3901635;Germany;Argo BSH;2017/08/19
3901636;Germany;Argo BSH;2017/09/02
3901643;Germany;Argo BSH;2017/11/09
3901649;Germany;Argo BSH;2018/01/20
3901650;Germany;Argo BSH;2018/05/12
3901652;Germany;Argo BSH;2018/03/05
3901654;Germany;Argo BSH;2018/04/16
3901656;Germany;Argo BSH;2018/01/26
3901657;Germany;Argo BSH;2018/01/25
3901658;Germany;Argo BSH;2018/01/25
3901662;Germany;Argo BSH;2018/04/23
3901670;Germany;Argo BSH;2018/06/21
3901671;Germany;Argo BSH;2018/06/17
3901672;Germany;Argo BSH;2018/06/25
3901674;Germany;Argo BSH;2018/06/08
3901675;Germany;Argo BSH;2018/06/14
3901680;Germany;Argo BSH;2018/11/29
3901788;United States;Argo SIO;2017/11/23
3901791;United States;Argo SIO;2017/11/25
3901792;United States;Argo SIO;2017/11/26
3901793;United States;Argo SIO;2017/11/28
3901795;United States;Argo SIO;2017/11/30
3901797;United States;Argo SIO;2018/08/23
3901798;United States;Argo SIO;2018/08/24
3901799;United States;Argo SIO;2018/08/24
3901801;United States;Argo SIO;2018/08/25
3901802;United States;Argo SIO;2018/08/25
3901803;United States;Argo SIO;2018/08/26
3901804;United States;Argo SIO;2018/08/26
3901809;United States;Argo WHOI;2017/05/11
3901814;United States;Argo WHOI;2017/06/03
3901816;United States;Argo WHOI;2017/06/05
3901817;United States;Argo WHOI;2017/06/23
3901819;United States;Argo WHOI;2017/06/12
3901822;United States;Argo WHOI;2017/06/09
3901838;Germany;MOCCA-GER;2016/08/23
3901840;Germany;MOCCA-GER;2016/05/29
3901841;Germany;MOCCA-GER;2016/07/31
3901845;Germany;MOCCA-GER;2016/06/26
3901846;Germany;MOCCA-GER;2016/10/20
3901847;Germany;MOCCA-GER;2016/10/22
3901849;Italy;MOCCA-IT;2016/06/05
3901853;European Union;MOCCA-EU;2016/10/28
3901854;European Union;MOCCA-EU;2016/11/02
3901855;European Union;MOCCA-EU;2016/10/22
3901857;European Union;MOCCA-EU;2016/08/12
3901858;European Union;MOCCA-EU;2016/08/14
3901859;European Union;MOCCA-EU;2016/09/01
3901860;European Union;MOCCA-EU;2016/09/05
3901861;European Union;MOCCA-EU;2016/09/06
3901864;European Union;MOCCA-EU;2016/09/08
3901865;European Union;MOCCA-EU;2016/09/08
3901866;European Union;MOCCA-EU;2016/10/17
3901867;European Union;MOCCA-EU;2016/10/11
3901868;European Union;MOCCA-EU;2016/10/12
3901869;European Union;MOCCA-EU;2016/11/10
3901870;European Union;MOCCA-EU;2016/11/10
3901871;European Union;MOCCA-EU;2016/08/29
3901872;European Union;MOCCA-EU;2016/08/23
3901873;European Union;MOCCA-EU;2016/09/04
3901875;European Union;MOCCA-EU;2016/08/23
3901879;Netherlands;MOCCA-NETH;2017/04/03
3901880;Netherlands;MOCCA-NETH;2017/04/20
3901882;Netherlands;MOCCA-NETH;2017/03/04
3901883;Netherlands;MOCCA-NETH;2017/01/28
3901886;Netherlands;MOCCA-NETH;2017/03/24
3901887;Netherlands;MOCCA-NETH;2017/04/13
3901888;Netherlands;MOCCA-NETH;2017/02/25
3901889;Netherlands;MOCCA-NETH;2017/04/06
3901890;European Union;MOCCA-EU;2017/04/03
3901893;European Union;MOCCA-EU;2017/04/15
3901894;European Union;MOCCA-EU;2017/04/15
3901895;European Union;MOCCA-EU;2017/04/14
3901896;European Union;MOCCA-EU;2017/04/24
3901897;European Union;MOCCA-EU;2017/05/10
3901898;European Union;MOCCA-EU;2017/05/10
3901899;European Union;MOCCA-EU;2017/01/22
3901900;European Union;MOCCA-EU;2017/01/24
3901901;European Union;MOCCA-EU;2016/12/16
3901903;European Union;MOCCA-EU;2016/12/16
3901905;European Union;MOCCA-EU;2017/01/23
3901906;European Union;MOCCA-EU;2017/03/10
3901907;Italy;MOCCA-IT;2017/01/21
3901908;Italy;MOCCA-IT;2017/01/25
3901909;European Union;MOCCA-EU;2016/12/29
3901911;Poland;MOCCA-POL;2017/06/27
3901912;European Union;MOCCA-EU;2017/08/10
3901913;European Union;MOCCA-EU;2017/08/10
3901915;European Union;MOCCA-EU;2017/08/10
3901919;European Union;MOCCA-EU;2016/12/01
3901921;European Union;MOCCA-EU;2018/05/19
3901926;European Union;MOCCA-EU;2017/10/31
3901928;European Union;MOCCA-EU;2016/12/06
3901931;European Union;MOCCA-EU;2017/01/19
3901934;European Union;MOCCA-EU;2017/01/10
3901935;European Union;MOCCA-EU;2017/01/08
3901937;European Union;MOCCA-EU;2017/01/09
3901942;European Union;MOCCA-EU;2017/09/20
3901946;European Union;MOCCA-EU;2018/01/23
3901948;European Union;MOCCA-EU;2017/12/17
3901949;European Union;MOCCA-EU;2017/12/16
3901952;European Union;MOCCA-EU;2017/10/05
3901953;European Union;MOCCA-EU;2017/10/05
3901954;European Union;MOCCA-EU;2017/10/09
3901955;European Union;MOCCA-EU;2017/10/13
3901956;European Union;MOCCA-EU;2017/10/15
3901957;European Union;MOCCA-EU;2018/05/20
3901966;Netherlands;Argo NETHERLANDS;2018/04/07
3901970;European Union;MOCCA-EU;2018/07/20
3901979;European Union;MOCCA-EU;2018/02/06
3901989;European Union;MOCCA-EU;2018/09/08
3902123;European Union;AtlantOS_H2020;2017/10/09
3902135;European Union;MOCCA-EU;2018/01/01
3902143;United States;Argo WHOI;2019/04/19
3902144;United States;Argo WHOI;2019/04/21
3902145;United States;Argo WHOI;2019/04/20
3902146;United States;Argo WHOI;2019/04/21
3902164;United States;Argo WHOI;2019/04/22
3902165;United States;Argo WHOI;2019/04/24
3902182;United States;Argo SIO;2019/12/25
3902184;United States;Argo SIO;2020/01/05
3902244;United States;Argo WHOI;2019/12/28
3902390;Japan;Argo JAMSTEC;2019/01/05
3902398;United Kingdom;Argo UK;2019/11/11
3902400;United Kingdom;Argo UK;2019/11/16
4900117;Canada;Argo CANADA;2002/02/18
4901428;Germany;Argo BSH;2015/10/20
4901429;Germany;Argo BSH;2015/10/21
4901487;United States;Argo PMEL;2012/04/15
4901548;United States;Argo PMEL;2013/01/24
4901639;United States;Argo SIO;2015/11/21
4901640;United States;Argo SIO;2015/11/21
4901682;Germany;Argo BSH;2015/10/23
4901683;Germany;Argo BSH;2015/10/24
4901774;Canada;Argo CANADA;2015/07/07
4901779;Canada;Argo CANADA;2015/05/14
4901784;Canada;Argo CANADA;2015/07/05
4902087;United States;Argo PMEL;2015/07/26
4902104;United States;Argo WHOI;2015/10/30
4902306;United States;Argo PMEL;2016/07/10
4902309;United States;Argo PMEL;2016/07/08
4902312;United States;Argo PMEL;2016/05/11
4902315;United States;Argo SIO;2017/01/01
4902316;United States;Argo SIO;2017/01/02
4902317;United States;Argo SIO;2017/01/02
4902318;United States;Argo SIO;2017/01/03
4902319;United States;Argo SIO;2017/01/03
4902330;United States;Argo SIO;2017/03/07
4902333;United States;Argo SIO;2017/10/21
4902334;United States;Argo SIO;2018/02/08
