WMO;COUNTRY;LAUNCH_DATE;PROGRAM
1900113;France;2005/10/31;Coriolis-Good Hope
1900114;France;2005/11/01;Coriolis-Good Hope
1900116;France;2005/11/02;Coriolis-Good Hope
1900117;France;2005/11/03;Coriolis-Good Hope
1900118;France;2002/10/12;Coriolis
1900119;France;2002/10/13;Coriolis
1900123;France;2003/01/04;Coriolis-FLOSTRAL
1900124;France;2003/01/05;Coriolis-FLOSTRAL
1900125;France;2003/01/05;Coriolis-FLOSTRAL
1900126;France;2003/01/06;Coriolis-FLOSTRAL
1900127;France;2003/01/06;Coriolis-FLOSTRAL
1900128;France;2003/01/07;Coriolis-FLOSTRAL
1900129;France;2003/01/07;Coriolis-FLOSTRAL
1900130;France;2003/01/08;Coriolis-FLOSTRAL
1900131;France;2003/01/11;Coriolis-FLOSTRAL
1900132;France;2003/01/14;Coriolis-FLOSTRAL
1900133;France;2003/01/14;Coriolis-FLOSTRAL
1900134;France;2003/01/16;Coriolis-FLOSTRAL
1900135;France;2003/01/16;Coriolis-FLOSTRAL
1900136;France;2003/01/17;Coriolis-FLOSTRAL
1900137;France;2003/01/17;Coriolis-FLOSTRAL
1900138;United Kingdom;2003/02/12;Argo UK
1900139;United Kingdom;2003/02/12;Argo UK
1900140;United Kingdom;2003/02/13;Argo UK
1900141;United Kingdom;2003/02/14;Argo UK
1900142;United Kingdom;2003/02/13;Argo UK
1900173;United Kingdom;2003/04/12;Argo UK
1900174;United Kingdom;2003/04/11;Argo UK
1900175;United Kingdom;2003/04/25;Argo UK
1900176;United Kingdom;2004/08/23;Argo UK
1900177;Mauritius;2003/06/20;Argo MAURITIUS
1900178;United Kingdom;2005/11/05;Argo UK
1900179;United Kingdom;2005/10/30;Argo UK
1900205;France;2003/05/03;Coriolis
1900206;France;2003/05/03;Coriolis
1900207;France;2003/05/06;Coriolis
1900208;France;2003/05/07;Coriolis
1900209;France;2003/05/07;Coriolis
1900210;France;2003/05/08;Coriolis
1900211;France;2003/05/08;Coriolis
1900212;France;2003/05/09;Coriolis
1900213;France;2003/05/09;Coriolis
1900214;France;2003/05/10;Coriolis
1900215;France;2003/05/10;Coriolis
1900216;France;2003/05/11;Coriolis
1900217;France;2003/05/11;Coriolis
1900218;France;2003/05/12;Coriolis
1900219;France;2003/05/12;Coriolis
1900220;France;2003/05/13;Coriolis
1900221;France;2003/05/23;Coriolis
1900222;France;2003/05/24;Coriolis
1900223;France;2003/05/25;Coriolis
1900224;France;2004/01/16;Coriolis-FLOSTRAL
1900225;Germany;2003/08/04;Argo eq. IFM
1900226;Germany;2003/08/05;Argo eq. IFM
1900227;Germany;2003/08/05;Argo eq. IFM
1900228;Germany;2003/11/15;Argo eq. IFM
1900229;Germany;2003/11/14;Argo eq. IFM
1900230;Germany;2003/08/05;Argo eq. IFM
1900231;Germany;2003/11/14;Argo eq. IFM
1900232;Germany;2003/11/14;Argo eq. IFM
1900233;Germany;2003/11/14;Argo eq. IFM
1900234;Germany;2003/11/14;Argo eq. IFM
1900235;Germany;2003/11/13;Argo eq. IFM
1900236;Germany;2003/11/13;Argo eq. IFM
1900237;Germany;2003/11/13;Argo eq. IFM
1900238;Germany;2003/11/13;Argo eq. IFM
1900239;Germany;2003/11/13;Argo eq. IFM
1900275;Spain;2003/09/21;Argo SPAIN
1900276;Spain;2003/09/22;Argo SPAIN
1900277;Spain;2003/09/24;Argo SPAIN
1900278;Spain;2003/09/19;Argo SPAIN
1900279;Spain;2003/09/27;Argo SPAIN
1900280;United Kingdom;2003/11/21;Argo UK eq.
1900281;United Kingdom;2003/11/23;Argo UK eq.
1900282;United Kingdom;2003/11/28;Argo UK eq.
1900283;United Kingdom;2003/11/21;Argo UK eq.
1900284;United Kingdom;2003/11/22;Argo UK eq.
1900285;United Kingdom;2003/11/23;Argo UK eq.
1900286;United Kingdom;2003/11/24;Argo UK eq.
1900287;United Kingdom;2003/11/26;Argo UK eq.
1900288;United Kingdom;2003/11/26;Argo UK eq.
1900289;United Kingdom;2003/11/27;Argo UK eq.
1900290;United Kingdom;2003/11/28;Argo UK eq.
1900291;United Kingdom;2003/11/29;Argo UK eq.
1900292;United Kingdom;2003/11/29;Argo UK eq.
